,Major,Degree_type,Early Career Pay,Mid Career Pay,% High Meaning,Field Type
0,Petroleum Engineering,Bachelors,93200.0,187300.0,0.67,STEM
1,Operations Research & Industrial Engineering,Bachelors,84800.0,170400.0,0.28,STEM
2,Electrical Engineering & Computer Science (EECS),Bachelors,108500.0,159300.0,0.46,STEM
3,Interaction Design,Bachelors,68300.0,155800.0,0.55,OTHER FIELDS
4,Public Accounting,Bachelors,59800.0,147700.0,0.47,BUSINESS
5,Operations Research,Bachelors,83500.0,147400.0,0.54,OTHER FIELDS
6,Applied Economics and Management,Bachelors,66100.0,146400.0,0.67,OTHER FIELDS
7,Business Computing (BC),Bachelors,73000.0,143600.0,0.0,BUSINESS
8,Actuarial Mathematics,Bachelors,64300.0,143400.0,0.51,STEM
9,Electrical Power Engineering,Bachelors,76100.0,142600.0,0.68,STEM
10,Information & Computer Science,Bachelors,58600.0,140900.0,0.62,STEM
11,Aeronautics & Astronautics,Bachelors,77600.0,139600.0,0.56,OTHER FIELDS
12,Systems Engineering,Bachelors,77700.0,139200.0,0.53,STEM
13,Econometrics,Bachelors,64200.0,139000.0,0.35,OTHER FIELDS
14,Pharmacy,Bachelors,68600.0,138700.0,0.78,OTHER FIELDS
15,Aerospace Studies,Bachelors,55800.0,136600.0,0.0,OTHER FIELDS
16,Building Science,Bachelors,53800.0,135900.0,0.53,OTHER FIELDS
17,Chemical Engineering,Bachelors,76900.0,135900.0,0.55,STEM
18,Cognitive Science,Bachelors,68700.0,135200.0,0.42,OTHER FIELDS
19,Actuarial Science,Bachelors,67700.0,134400.0,0.43,OTHER FIELDS
20,Political Economy,Bachelors,65100.0,133500.0,0.29,OTHER FIELDS
21,Computer Systems Engineering,Bachelors,79000.0,133200.0,0.51,STEM
22,Electrical & Computer Engineering (ECE),Bachelors,78100.0,131600.0,0.49,STEM
23,Computer Science (CS) & Engineering,Bachelors,79400.0,131300.0,0.44,STEM
24,Marine Engineering,Bachelors,79900.0,131300.0,0.6,STEM
25,Aeronautical Engineering,Bachelors,74700.0,131100.0,0.66,STEM
26,Computer Engineering (CE),Bachelors,79000.0,131000.0,0.46,STEM
27,Naval Architecture & Marine Engineering,Bachelors,74400.0,130700.0,0.49,STEM
28,Entrepreneurship & Marketing,Bachelors,51400.0,129800.0,0.45,OTHER FIELDS
29,Corporate Accounting & Finance,Bachelors,65200.0,129700.0,0.55,BUSINESS
30,Mechatronics,Bachelors,72800.0,129600.0,0.48,OTHER FIELDS
31,Nuclear Engineering,Bachelors,76400.0,129400.0,0.62,STEM
32,Electrical Engineering (EE),Bachelors,75600.0,127700.0,0.54,STEM
33,Foreign Affairs,Bachelors,54800.0,127700.0,0.36,OTHER FIELDS
34,Marine Transportation Management,Bachelors,71100.0,127500.0,0.0,OTHER FIELDS
35,Mechanical & Aeronautical Engineering,Bachelors,70900.0,126900.0,0.6,STEM
36,Welding Engineering,Bachelors,81000.0,126600.0,0.56,STEM
37,Instrumentation & Control Engineering,Bachelors,73100.0,126400.0,0.0,STEM
38,Computational & Applied Mathematics,Bachelors,75500.0,126000.0,0.45,STEM
39,Electrical & Electronics Engineering (EEE),Bachelors,74700.0,125800.0,0.56,STEM
40,Aerospace Engineering,Bachelors,74300.0,125700.0,0.55,STEM
41,Astronomy,Bachelors,66600.0,125400.0,0.47,OTHER FIELDS
42,Optical Science & Engineering,Bachelors,71000.0,125400.0,0.0,STEM
43,Quantitative Business Analysis,Bachelors,74000.0,125400.0,0.37,BUSINESS
44,Computer Science (CS) & Mathematics,Bachelors,70500.0,125100.0,0.43,STEM
45,Industrial & Systems Engineering,Bachelors,73100.0,124800.0,0.48,STEM
46,Economics and Mathematics,Bachelors,68200.0,124100.0,0.35,STEM
47,Biomedical Engineering (BME),Bachelors,71300.0,123600.0,0.72,STEM
48,Managerial Economics,Bachelors,65200.0,123600.0,0.41,OTHER FIELDS
